RELATION	INSTANCE
CVE_ID_OF_SOFTWARE	[('label', 'SW.PRODUCT'), ('word', 'update'), ('word', '-LRB-'), ('label', 'VULN.NAME')]
CVE_ID_RELEVANT_TERM	[('label', 'VULN.RELEVANT_TERM'), ('word', '-LRB-'), ('label', 'VULN.NAME')]
MS_ID_OF_SOFTWARE	[('label', 'VULN.MS'), ('word', ','), ('word', 'a'), ('word', 'flaw'), ('word', 'in'), ('word', 'the'), ('word', 'SW.PRODUCT')]
MS_ID_OF_SOFTWARE	[('label', 'VULN.MS'), ('word', 'deals'), ('word', 'with'), ('label', 'SW.PRODUCT')]
MS_ID_OF_SOFTWARE	[('label', 'SW.PRODUCT'), ('word', 'update'), ('label', 'VULN.MS')]
MS_ID_OF_SOFTWARE	[("label", "VULN.MS"), ("word", ","), ("word", "which"), ("word", "updates"), ("label", "SW.VENDOR"), ("word", "'s"), ("label", "SW.PRODUCT")]
MS_ID_OF_SOFTWARE	[('label', 'SW.PRODUCT'), ('word', '-LRB-'), ('label', 'VULN.MS')]
MS_ID_OF_SOFTWARE	['BETWEEN', [('label', 'VULN.MS'), ('word', 'flaw'), ('word', 'in'), ('label', 'SW.PRODUCT')]]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', 'is'), ('word', 'also'), ('word', 'related'), ('word', 'to'), ('label', 'VULN.RELEVANT_TERM')]
MS_ID_RELEVANT_TERM	['BETWEEN', [('label', 'VULN.MS'), ('word', 'which'), ('word', 'addresses'), ('label', 'VULN.RELEVANT_TERM')]]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', 'which'), ('word', 'addresses'), ('word', 'another'), ('label', 'VULN.RELEVANT_TERM')]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', 'is'), ('word', 'also'), ('word', 'a'), ('label', 'VULN.RELEVANT_TERM')]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', ','), ('word', 'deals'), ('word', 'with'), ('word', 'a'), ('label', 'VULN.RELEVANT_TERM')]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', 'relates'), ('word', 'to'), ('word', 'a'), ('label', 'VULN.RELEVANT_TERM')]
MS_ID_RELEVANT_TERM	[('label', 'VULN.MS'), ('word', 'and'), ('word', 'it'), ('word', 'is'), ('word', 'yet'), ('word', 'another'), ('label', 'VULN.RELEVANT_TERM')]
